Year,Region,District,Cycle,Number of households,3 to 11 months male,3 to 11 months female,12 to 59 months male,12 to 59 months female,Facilities
2018,Central,DISTRICT3002,2,3234,1797,1720,1170,903,FAC1151
2018,Central,DISTRICT3002,3,2781,1882,2717,551,1916,FAC1151
2018,Central,DISTRICT3002,4,8882,1848,3262,1221,1238,FAC1151
2018,Central,DISTRICT3002,1,6303,933,4787,1434,818,FAC3727
2018,Central,DISTRICT3002,2,2905,1501,2338,1031,2658,FAC3727
2018,Central,DISTRICT3002,3,7381,559,4620,1511,888,FAC3727
2018,Central,DISTRICT3002,4,5945,1942,2499,653,3597,FAC3727
2018,Central,DISTRICT3002,1,4485,527,912,1423,4002,FAC5035
2018,Central,DISTRICT3002,2,3918,1689,2269,970,2087,FAC5035
2018,Central,DISTRICT3002,3,1581,1197,1711,1178,3134,FAC5035
2018,Central,DISTRICT3002,4,3873,582,3693,1933,1946,FAC5035
2018,Central,DISTRICT3002,1,5004,1923,1864,1384,4287,FAC1820
2018,Central,DISTRICT3002,2,8266,1234,1173,1259,1210,FAC1820
2018,Central,DISTRICT3002,3,9590,1421,3556,1814,4302,FAC1820
2018,Central,DISTRICT3002,4,1906,1037,4702,1798,3219,FAC1820
2018,Eastern,DISTRICT1338,1,4552,518,2893,1582,3376,FAC6128
2018,Eastern,DISTRICT1338,2,3461,754,3830,679,3106,FAC6128
2018,Eastern,DISTRICT1338,3,6553,1480,3526,1074,4790,FAC6128
2018,Eastern,DISTRICT1338,4,1461,1029,4449,1855,4789,FAC6128
2018,Eastern,DISTRICT1338,1,7626,1915,1305,1371,1023,FAC9779
2018,Eastern,DISTRICT1338,2,4967,791,1988,1407,2588,FAC9779
2018,Eastern,DISTRICT1338,3,9930,2000,2930,1350,3918,FAC9779
2018,Eastern,DISTRICT1338,4,2893,1933,3991,1421,2493,FAC9779
2018,Eastern,DISTRICT4931,1,6883,1029,3074,1531,3780,FAC4324
2018,Eastern,DISTRICT4931,2,8839,1529,2631,588,4755,FAC4324
2018,Eastern,DISTRICT4931,3,8200,1014,2394,1097,2432,FAC4324
2018,Eastern,DISTRICT4931,4,9360,504,3754,591,4938,FAC4324
2018,Eastern,DISTRICT4931,1,3599,812,4402,1105,4107,FAC1574
2018,Eastern,DISTRICT4931,2,6959,808,2057,1512,3302,FAC1574
2018,Eastern,DISTRICT4931,3,4055,1177,2065,1400,1605,FAC1574
2018,Eastern,DISTRICT4931,4,5053,1705,2680,1584,3801,FAC1574
2018,Greater Accra,DISTRICT3701,1,1636,1368,4217,705,3366,FAC6563
2018,Greater Accra,DISTRICT3701,2,3876,1774,1502,1459,3714,FAC6563
2018,Greater Accra,DISTRICT3701,3,7105,849,2213,1536,3867,FAC6563
2018,Greater Accra,DISTRICT3701,4,9755,637,4082,1035,1340,FAC6563
2018,Greater Accra,DISTRICT3701,1,3638,628,4423,1389,1813,FAC9257
2018,Greater Accra,DISTRICT3701,2,9722,1638,4681,1459,2343,FAC9257
2018,Greater Accra,DISTRICT3701,3,4715,1501,3748,1581,2390,FAC9257
2018,Greater Accra,DISTRICT3701,4,7851,581,1809,1436,4940,FAC9257
2018,Greater Accra,DISTRICT3701,1,3324,891,2458,1736,1663,FAC5161
2018,Greater Accra,DISTRICT3701,2,8166,629,3046,600,846,FAC5161
2018,Greater Accra,DISTRICT3701,3,2347,1517,3073,1634,3111,FAC5161
2018,Greater Accra,DISTRICT3701,4,9526,1718,3047,1367,3043,FAC5161
2018,Northern,DISTRICT410,1,4645,1297,3178,1012,3620,FAC642
2018,Northern,DISTRICT410,2,1357,1809,2692,969,1090,FAC642
2018,Northern,DISTRICT410,3,6092,1758,4948,1709,1993,FAC642
2018,Northern,DISTRICT410,4,1988,1974,2477,1582,1678,FAC642
2018,Northern,DISTRICT410,1,4613,580,1107,1714,1939,FAC9543
2018,Northern,DISTRICT410,2,7856,1454,2632,1734,1894,FAC9543
2018,Northern,DISTRICT410,3,6189,1168,3722,748,1667,FAC9543
2018,Northern,DISTRICT410,4,7659,1203,847,1054,3218,FAC9543
2018,Northern,DISTRICT410,1,9606,852,4724,1028,4377,FAC8591
2018,Northern,DISTRICT410,2,1595,927,4684,1892,4282,FAC8591
2018,Northern,DISTRICT410,3,3021,1673,2752,1181,1972,FAC8591
2018,Northern,DISTRICT410,4,3838,1977,1128,596,3135,FAC8591
2018,Northern,DISTRICT410,1,5867,570,4931,1854,2743,FAC1048
2018,Northern,DISTRICT410,2,3791,761,4652,1134,4388,FAC1048
2018,Northern,DISTRICT410,3,7240,1932,2172,1672,956,FAC1048
2018,Northern,DISTRICT410,4,1723,1244,1266,1540,4821,FAC1048
2018,Northern,DISTRICT9510,1,1428,879,1096,531,3058,FAC4217
2018,Northern,DISTRICT9510,2,9558,1357,1004,1492,2726,FAC4217
2018,Northern,DISTRICT9510,3,7059,767,3862,1706,4024,FAC4217
2018,Northern,DISTRICT9510,4,8516,938,4945,1934,3584,FAC4217
2018,Northern,DISTRICT9510,1,4678,990,1128,979,1091,FAC5044
2018,Northern,DISTRICT9510,2,8613,934,3416,1554,4973,FAC5044
2018,Northern,DISTRICT9510,3,5498,1742,1455,1953,4414,FAC5044
2018,Northern,DISTRICT9510,4,8879,919,3099,1463,1105,FAC5044
2018,Northern,DISTRICT9510,1,1609,941,1011,1871,4854,FAC4604
2018,Northern,DISTRICT9510,2,9555,1707,3369,1301,4195,FAC4604
2018,Northern,DISTRICT9510,3,2523,544,1748,740,3804,FAC4604
2018,Northern,DISTRICT9510,4,3241,1592,2037,845,3634,FAC4604
2018,Northern,DISTRICT9510,1,3396,1069,3121,1834,1396,FAC3942
2018,Northern,DISTRICT9510,2,3043,1054,3778,1866,3880,FAC3942
2018,Northern,DISTRICT9510,3,3988,927,3070,1760,1510,FAC3942
2018,Northern,DISTRICT9510,4,9281,826,4885,832,2955,FAC3942
2018,Upper East,DISTRICT3991,1,6060,1373,2611,1068,3375,FAC7819
2018,Upper East,DISTRICT3991,2,9794,1630,1606,982,2549,FAC7819
2018,Upper East,DISTRICT3991,3,6229,1265,1045,891,3654,FAC7819
2018,Upper East,DISTRICT3991,4,2002,1902,3022,943,2046,FAC7819
2018,Upper East,DISTRICT3991,1,3588,501,1190,787,992,FAC3795
2018,Upper East,DISTRICT3991,2,6965,1855,1322,1349,4241,FAC3795
2018,Upper East,DISTRICT3991,3,1509,1663,2415,536,1150,FAC3795
2018,Upper East,DISTRICT3991,4,7661,1545,4906,1431,1601,FAC3795
2018,Upper East,DISTRICT3991,1,4078,1013,2565,898,4962,FAC7333
2018,Upper East,DISTRICT3991,2,5251,1880,1860,1695,2623,FAC7333
2018,Upper East,DISTRICT3991,3,3473,1358,2351,1740,1103,FAC7333
2018,Upper East,DISTRICT3991,4,5072,1975,4587,1126,4127,FAC7333
2018,Upper East,DISTRICT3991,1,6806,1955,3982,742,1969,FAC9454
2018,Upper East,DISTRICT3991,2,2713,1167,2853,775,4457,FAC9454
2018,Upper East,DISTRICT3991,3,4289,1530,4706,987,3951,FAC9454
2018,Upper East,DISTRICT3991,4,2487,596,1160,1365,2814,FAC9454
2018,Upper East,DISTRICT3991,1,5001,1223,2985,1259,2684,FAC805
2018,Upper East,DISTRICT3991,2,8281,1748,3224,1899,4178,FAC805
2018,Upper East,DISTRICT3991,3,1135,523,3478,518,1206,FAC805
2018,Upper East,DISTRICT3991,4,8482,1468,2849,1076,2583,FAC805
2018,Upper West,DISTRICT5033,1,9853,1310,2906,595,1765,FAC8262
2018,Upper West,DISTRICT5033,2,2979,885,2876,1532,1418,FAC8262
2018,Upper West,DISTRICT5033,3,1172,874,2724,1298,3077,FAC8262
2018,Upper West,DISTRICT5033,4,3582,1793,3285,1575,2645,FAC8262
2018,Upper West,DISTRICT5033,1,4046,1364,2787,1747,3583,FAC3604
2018,Upper West,DISTRICT5033,2,9199,1554,2594,1739,4316,FAC3604
2018,Upper West,DISTRICT5033,3,5671,1592,3797,1993,2127,FAC3604
2018,Upper West,DISTRICT5033,4,1037,1128,2724,1121,2276,FAC3604
2018,Upper West,DISTRICT5033,1,1862,1013,4146,895,2949,FAC9000
2018,Upper West,DISTRICT5033,2,3608,932,3437,1965,2522,FAC9000
2018,Upper West,DISTRICT5033,3,2062,1870,3914,1286,1598,FAC9000
2018,Upper West,DISTRICT5033,4,1548,782,2504,1430,4890,FAC9000
2018,Upper West,DISTRICT5033,1,7708,1022,2376,503,2915,FAC5629
2018,Upper West,DISTRICT5033,2,7189,1498,1455,1954,4219,FAC5629
2018,Upper West,DISTRICT5033,3,8956,1795,1607,1715,4321,FAC5629
2018,Upper West,DISTRICT5033,4,1341,882,1042,1962,4542,FAC5629
2018,Upper West,DISTRICT5033,1,8342,1685,3843,1263,3757,FAC8329
2018,Upper West,DISTRICT5033,2,8298,1564,2646,621,3769,FAC8329
2018,Upper West,DISTRICT5033,3,1080,1664,4897,1671,1837,FAC8329
2018,Upper West,DISTRICT5033,4,1087,1898,1925,1772,1357,FAC8329
2018,Upper West,DISTRICT612,1,2503,1619,4516,940,3784,FAC9460
2018,Upper West,DISTRICT612,2,5571,1237,4314,1701,4559,FAC9460
2018,Upper West,DISTRICT612,3,2069,1235,2766,921,2206,FAC9460
2018,Upper West,DISTRICT612,4,6568,1012,3323,1573,4265,FAC9460
2018,Upper West,DISTRICT612,1,7027,580,3351,755,4615,FAC8496
2018,Upper West,DISTRICT612,2,1768,641,3780,794,2170,FAC8496
2018,Upper West,DISTRICT612,3,7663,1708,3717,1522,1636,FAC8496
2018,Upper West,DISTRICT612,4,5990,1856,2472,1008,1278,FAC8496
2018,Upper West,DISTRICT612,1,7146,625,1287,1718,2667,FAC3660
2018,Upper West,DISTRICT612,2,6402,1186,2056,1188,1093,FAC3660
2018,Upper West,DISTRICT612,3,3980,1333,4880,1242,1636,FAC3660
2018,Upper West,DISTRICT612,4,9590,1661,1994,1263,1764,FAC3660
2018,Upper West,DISTRICT612,1,9324,976,3791,1075,2707,FAC8598
2018,Upper West,DISTRICT612,2,5207,1802,2850,1614,3379,FAC8598
2018,Upper West,DISTRICT612,3,3800,907,4410,573,1578,FAC8598
2018,Upper West,DISTRICT612,4,1970,1395,1468,1409,3561,FAC8598
2018,Upper West,DISTRICT612,1,5656,544,1838,1219,2272,FAC2342
2018,Upper West,DISTRICT612,2,8241,1685,3359,784,3310,FAC2342
2018,Upper West,DISTRICT612,3,2483,1668,3845,544,4065,FAC2342
2018,Upper West,DISTRICT612,4,6458,1048,1868,1108,4379,FAC2342
2018,Upper West,DISTRICT2047,1,6355,1928,2483,936,2071,FAC1417
2018,Upper West,DISTRICT2047,2,8298,640,1250,721,1883,FAC1417
2018,Upper West,DISTRICT2047,3,7894,897,3411,957,3681,FAC1417
2018,Upper West,DISTRICT2047,4,7293,1978,2763,1396,2033,FAC1417
2018,Upper West,DISTRICT2047,1,9067,1141,1041,521,2639,FAC3469
2018,Upper West,DISTRICT2047,2,2149,880,1280,1081,4955,FAC3469
2018,Upper West,DISTRICT2047,3,6423,1436,1927,1668,4692,FAC3469
2018,Upper West,DISTRICT2047,4,4243,1738,4550,1852,1587,FAC3469
2018,Upper West,DISTRICT2973,1,9617,1656,4716,1693,4274,FAC4517
2018,Upper West,DISTRICT2973,2,1737,971,4551,807,4902,FAC4517
2018,Upper West,DISTRICT2973,3,4720,716,1118,1208,3182,FAC4517
2018,Upper West,DISTRICT2973,4,3964,1974,2541,999,4393,FAC4517
2018,Upper West,DISTRICT2973,1,3029,1845,1433,1361,1900,FAC4771
2018,Upper West,DISTRICT2973,2,9850,1039,2735,1358,2814,FAC4771
2018,Upper West,DISTRICT2973,3,3156,1765,4436,1513,2331,FAC4771
2018,Upper West,DISTRICT2973,4,9560,1264,2398,539,1896,FAC4771
2018,Volta,DISTRICT8059,1,1044,1925,4291,1723,847,FAC343
2018,Volta,DISTRICT8059,2,1316,1564,1473,1559,3171,FAC343
2018,Volta,DISTRICT8059,3,7404,1097,3691,583,3155,FAC343
2018,Volta,DISTRICT8059,4,3737,1930,2118,1810,1240,FAC343
2018,Volta,DISTRICT8059,1,2674,1952,3063,1901,4387,FAC6744
2018,Volta,DISTRICT8059,2,5092,1046,884,540,1574,FAC6744
2018,Volta,DISTRICT8059,3,5096,1375,1387,863,4566,FAC6744
2018,Volta,DISTRICT8059,4,9579,1460,1174,1292,1255,FAC6744
2018,Volta,DISTRICT8384,1,2878,1294,2996,1521,4612,FAC6211
2018,Volta,DISTRICT8384,2,7622,1313,2154,1752,2734,FAC6211
2018,Volta,DISTRICT8384,3,1097,857,4368,1457,3659,FAC6211
2018,Volta,DISTRICT8384,4,2946,678,4002,812,3658,FAC6211
2018,Volta,DISTRICT8384,1,3902,1605,4380,960,2694,FAC2592
2018,Volta,DISTRICT8384,2,3938,1044,1282,958,1142,FAC2592
2018,Volta,DISTRICT8384,3,5317,1877,4867,1828,2812,FAC2592
2018,Volta,DISTRICT8384,4,5077,1487,2790,1921,2483,FAC2592
2018,Volta,DISTRICT8384,1,7946,991,1004,1545,2826,FAC5892
2018,Volta,DISTRICT8384,2,3416,1796,4557,1821,3350,FAC5892
2018,Volta,DISTRICT8384,3,4085,1411,4756,1370,2253,FAC5892
2018,Volta,DISTRICT8384,4,7773,838,802,1993,1985,FAC5892
2018,Volta,DISTRICT8384,1,1362,910,4070,907,2458,FAC7300
2018,Volta,DISTRICT8384,2,4315,854,839,1351,2797,FAC7300
2018,Volta,DISTRICT8384,3,4289,1330,4390,1322,2071,FAC7300
2018,Volta,DISTRICT8384,4,1575,1364,2129,761,4577,FAC7300
2018,Volta,DISTRICT8384,1,5255,1644,3849,1508,1555,FAC7075
2018,Volta,DISTRICT8384,2,5441,1188,1085,1547,2985,FAC7075
2018,Volta,DISTRICT8384,3,5043,888,2652,659,2423,FAC7075
2018,Volta,DISTRICT8384,4,2447,1123,4543,1973,1764,FAC7075
2018,Volta,DISTRICT4193,1,2498,1583,1332,842,882,FAC8754
2018,Volta,DISTRICT4193,2,3218,790,1079,1571,4921,FAC8754
2018,Volta,DISTRICT4193,3,3264,906,3038,1901,2605,FAC8754
2018,Volta,DISTRICT4193,4,5594,1087,2283,1663,907,FAC8754
2018,Volta,DISTRICT4193,1,1610,1055,4523,798,2280,FAC2490
2018,Volta,DISTRICT4193,2,2338,1207,3870,1142,1200,FAC2490
2018,Volta,DISTRICT4193,3,5221,1011,3049,1400,3111,FAC2490
2018,Volta,DISTRICT4193,4,4759,869,1203,1627,852,FAC2490
2018,Volta,DISTRICT4193,1,7798,1984,1418,1369,1443,FAC953
2018,Volta,DISTRICT4193,2,4708,1441,1024,1585,4505,FAC953
2018,Volta,DISTRICT4193,3,8657,1660,4431,1910,3320,FAC953
2018,Volta,DISTRICT4193,4,7840,1425,4012,1524,871,FAC953
2018,Volta,DISTRICT4193,1,6359,515,3540,1951,3211,FAC6632
2018,Volta,DISTRICT4193,2,5374,1783,3028,1230,4698,FAC6632
2018,Volta,DISTRICT4193,3,8130,727,3298,1858,2019,FAC6632
2018,Volta,DISTRICT4193,4,5802,1301,4488,1112,4118,FAC6632
2018,Volta,DISTRICT3155,1,1662,672,4784,1040,3811,FAC8087
2018,Volta,DISTRICT3155,2,8531,864,2987,1967,802,FAC8087
2018,Volta,DISTRICT3155,3,7058,779,3838,1874,1256,FAC8087
2018,Volta,DISTRICT3155,4,3873,1669,4093,1490,4606,FAC8087
2018,Western,DISTRICT7787,1,3179,1095,3324,1350,1371,FAC2750
2018,Western,DISTRICT7787,2,3502,913,4012,1383,1817,FAC2750
2018,Western,DISTRICT7787,3,9129,1112,4914,564,4162,FAC2750
2018,Western,DISTRICT7787,4,6765,1169,3827,1856,2073,FAC2750
2018,Western,DISTRICT7787,1,1525,1673,2890,1691,4660,FAC7992
2018,Western,DISTRICT7787,2,6123,772,905,974,3236,FAC7992
2018,Western,DISTRICT7787,3,5785,508,3179,1162,4926,FAC7992
2018,Western,DISTRICT7787,4,2811,1042,1275,1399,3704,FAC7992
2018,Western,DISTRICT7787,1,4839,1406,4958,1925,979,FAC1711
2018,Western,DISTRICT7787,2,2473,1303,4670,1889,1508,FAC1711
2018,Western,DISTRICT7787,3,4805,1289,2899,1832,1783,FAC1711
2018,Western,DISTRICT7787,4,9376,1840,2380,711,4158,FAC1711
2018,Western,DISTRICT5101,1,7912,1226,4223,611,1699,FAC9435
2018,Western,DISTRICT5101,2,9606,1724,4203,1595,4043,FAC9435
2018,Western,DISTRICT5101,3,6465,1118,3671,916,2185,FAC9435
2018,Western,DISTRICT5101,4,4832,534,2607,1223,1936,FAC9435
2018,Western,DISTRICT5101,1,4973,1340,4685,1930,4550,FAC5019
2018,Western,DISTRICT5101,2,5314,594,1969,1554,2344,FAC5019
2018,Western,DISTRICT5101,3,9134,1547,4915,1041,2885,FAC5019
2018,Western,DISTRICT5101,4,6936,1449,1871,1436,4044,FAC5019
2018,Western,DISTRICT4683,1,4613,1941,2210,1653,1346,FAC6477
2018,Western,DISTRICT4683,2,4083,1656,1109,638,4258,FAC6477
2018,Western,DISTRICT4683,3,7557,624,4590,543,1615,FAC6477
2018,Western,DISTRICT4683,4,4063,1213,4088,1299,2858,FAC6477
2018,Western,DISTRICT4683,1,8995,1049,2996,1352,1354,FAC3027
2018,Western,DISTRICT4683,2,6128,1255,1314,992,2195,FAC3027
2018,Western,DISTRICT4683,3,4972,1899,4989,1262,1707,FAC3027
2018,Western,DISTRICT4683,4,3250,1858,1616,1267,1970,FAC3027
2018,Western,DISTRICT4683,1,7954,1800,2984,1054,4124,FAC3917
2018,Western,DISTRICT4683,2,9268,1153,1874,1155,1627,FAC3917
2018,Western,DISTRICT4683,3,8383,1210,1214,1667,1302,FAC3917
2018,Western,DISTRICT4683,4,6988,1125,2983,1828,4935,FAC3917
2018,Western,DISTRICT4683,1,8285,1009,1264,784,2802,FAC1109
2018,Western,DISTRICT4683,2,1331,1707,2381,720,2034,FAC1109
2018,Western,DISTRICT4683,3,4116,1606,3644,1103,3679,FAC1109
2018,Western,DISTRICT4683,4,4281,1246,4148,1138,1365,FAC1109
2018,Western,DISTRICT3260,1,8569,1328,2671,551,4660,FAC4244
2018,Western,DISTRICT3260,2,6349,731,1838,1027,3897,FAC4244
2018,Western,DISTRICT3260,3,8351,725,4319,620,4223,FAC4244
2018,Western,DISTRICT3260,4,5469,625,3013,1464,2142,FAC4244
2018,Western,DISTRICT3260,1,7457,715,4100,1330,3435,FAC2710
2018,Western,DISTRICT3260,2,6626,1391,4765,1228,4708,FAC2710
2018,Western,DISTRICT3260,3,3493,1993,3467,1387,4446,FAC2710
2018,Western,DISTRICT3260,4,8827,727,1840,1854,807,FAC2710
2018,Western,DISTRICT7926,1,8539,1151,1984,578,3282,FAC913
2018,Western,DISTRICT7926,2,1581,1400,4103,1623,2077,FAC913
2018,Western,DISTRICT7926,3,9447,571,4847,1943,2440,FAC913
2018,Western,DISTRICT7926,4,7662,615,4000,1524,1117,FAC913
2018,Western,DISTRICT7926,1,8642,1424,4569,675,4111,FAC6259
2018,Western,DISTRICT7926,2,7770,1557,4989,1607,4951,FAC6259
2018,Western,DISTRICT7926,3,9879,1965,4603,1209,2713,FAC6259
