Year,Region,District,Cycle,3 to 11 months male,3 to 11 months female,12 to 59 months male,12 to 59 months female
2018,Savannah,DISTRICT1684,1,8034,750,4907,1253
2018,Savannah,DISTRICT1684,2,6627,1081,3373,880
2018,Savannah,DISTRICT1684,3,2626,1094,2565,1367
2018,Savannah,DISTRICT1684,4,2803,1864,4284,1598
2018,Savannah,DISTRICT1268,1,9426,1558,3679,1433
2018,Savannah,DISTRICT1268,2,2043,1047,2811,1393
2018,Savannah,DISTRICT1268,3,2308,753,1529,653
2018,Savannah,DISTRICT1268,4,1822,774,4552,1791
2018,Bono East,DISTRICT6517,1,7176,1583,2256,916
2018,Bono East,DISTRICT6517,2,5881,793,990,1050
2018,Bono East,DISTRICT6517,3,7349,877,3832,943
2018,Bono East,DISTRICT6517,4,2659,1055,1825,803
2018,Bono East,DISTRICT2000,1,6539,1325,1876,1616
2018,Bono East,DISTRICT2000,2,2443,943,2133,1471
2018,Bono East,DISTRICT2000,3,2337,721,4125,1034
2018,Bono East,DISTRICT2000,4,7504,1422,2800,1957
2018,Bono East,DISTRICT1425,1,2971,1296,3882,1295
2018,Bono East,DISTRICT1425,2,1004,769,1026,845
2018,Bono East,DISTRICT1425,3,6759,1611,4031,693
2018,Bono East,DISTRICT1425,4,2599,670,4351,653
2018,Bono East,DISTRICT5712,1,6506,946,3748,892
2018,Bono East,DISTRICT5712,2,5356,762,2285,1707
2018,Bono East,DISTRICT5712,3,7926,1543,2059,1286
2018,Bono East,DISTRICT5712,4,3236,1946,2436,1317
2018,Oti,DISTRICT3015,1,1959,916,2602,1853
2018,Oti,DISTRICT3015,2,4775,1035,2475,667
2018,Oti,DISTRICT3015,3,1511,708,2234,1269
2018,Oti,DISTRICT3015,4,6693,1327,4654,1570
2018,Oti,DISTRICT5008,1,1158,831,2144,1929
2018,Oti,DISTRICT5008,2,5965,1002,2016,678
2018,Oti,DISTRICT5008,3,1581,1322,4538,684
2018,Oti,DISTRICT5008,4,2404,1493,1617,1260
2018,Oti,DISTRICT998,1,4374,932,4367,589
2018,Oti,DISTRICT998,2,7104,1443,2091,750
2018,Oti,DISTRICT998,3,7470,1491,961,861
2018,Oti,DISTRICT998,4,6315,984,2704,1041
2018,Oti,DISTRICT5104,1,6955,1440,3986,900
2018,Oti,DISTRICT5104,2,2915,502,1229,1999
2018,Oti,DISTRICT5104,3,4161,1171,1526,1170
2018,Oti,DISTRICT5104,4,8556,1612,2181,1422
2018,Ahafo,DISTRICT8803,1,3727,993,3272,1316
2018,Ahafo,DISTRICT8803,2,3271,1894,3142,1564
2018,Ahafo,DISTRICT8803,3,5048,677,4697,1546
2018,Ahafo,DISTRICT8803,4,7452,1267,4117,675
2018,Ahafo,DISTRICT992,1,7315,779,903,1791
2018,Ahafo,DISTRICT992,2,7605,541,3015,1586
2018,Ahafo,DISTRICT992,3,4522,675,4138,981
2018,Ahafo,DISTRICT992,4,4719,961,2835,1383
2018,Ahafo,DISTRICT8839,1,4335,1927,4118,1973
2018,Ahafo,DISTRICT8839,2,6228,525,2633,1259
2018,Ahafo,DISTRICT8839,3,8112,1021,4344,1928
2018,Ahafo,DISTRICT8839,4,5982,1442,1242,1873
2018,Western North,DISTRICT350,1,2006,1320,1250,1329
2018,Western North,DISTRICT350,2,5212,1217,2060,1619
2018,Western North,DISTRICT350,3,7859,591,4757,1100
2018,Western North,DISTRICT350,4,3545,599,1075,1512
2018,Western North,DISTRICT4914,1,1056,1235,3894,652
2018,Western North,DISTRICT4914,2,8853,1873,4737,584
2018,Western North,DISTRICT4914,3,5758,839,3828,1762
2018,Western North,DISTRICT4914,4,9985,619,3852,973
2018,Western North,DISTRICT8200,1,4683,1870,981,504
2018,Western North,DISTRICT8200,2,6593,1844,3758,741
2018,Western North,DISTRICT8200,3,6777,1144,2579,631
2018,Western North,DISTRICT8200,4,5590,831,4183,1431
2018,Western North,DISTRICT9195,1,5968,955,1046,1744
2018,Western North,DISTRICT9195,2,9825,1850,2996,1989
2018,Western North,DISTRICT9195,3,7971,1845,4225,1746
2018,Western North,DISTRICT9195,4,1872,1110,3941,1744
2018,Western North,DISTRICT2674,1,2035,501,2005,1368
2018,Western North,DISTRICT2674,2,5442,1471,936,839
2018,Western North,DISTRICT2674,3,4856,947,4817,1494
2018,Western North,DISTRICT2674,4,2430,1637,3679,1173
2018,North East,DISTRICT172,1,9491,571,4551,1362
2018,North East,DISTRICT172,2,5670,613,1178,525
2018,North East,DISTRICT172,3,3684,805,2549,986
2018,North East,DISTRICT172,4,8344,1629,4782,1904
2018,North East,DISTRICT7290,1,8261,1361,2728,698
2018,North East,DISTRICT7290,2,7227,1467,2215,1401
2018,North East,DISTRICT7290,3,9886,1467,3500,1688
2018,North East,DISTRICT7290,4,6093,742,3941,778
2018,North East,DISTRICT356,1,6641,1010,2978,1993
2018,North East,DISTRICT356,2,1476,1954,3114,1803
2018,North East,DISTRICT356,3,8460,860,3309,1317
2018,North East,DISTRICT356,4,5483,998,1727,814
2019,Ashanti,DISTRICT8654,1,3401,1893,1691,738
2019,Ashanti,DISTRICT8654,2,5599,613,3513,1288
2019,Ashanti,DISTRICT8654,3,8918,1198,4989,1786
2019,Ashanti,DISTRICT8654,4,4957,1543,3873,1692
2019,Ashanti,DISTRICT561,1,4098,1298,3024,648
2019,Ashanti,DISTRICT561,2,4707,607,3326,736
2019,Ashanti,DISTRICT561,3,9593,1332,2502,682
2019,Ashanti,DISTRICT561,4,3108,1508,3709,936
2019,Ashanti,DISTRICT4779,1,1029,1310,4549,1853
2019,Ashanti,DISTRICT4779,2,4808,1825,3354,1073
2019,Ashanti,DISTRICT4779,3,4961,754,2245,893
2019,Ashanti,DISTRICT4779,4,4522,1559,2144,910
2019,Ashanti,DISTRICT7572,1,2071,1925,4412,561
2019,Ashanti,DISTRICT7572,2,9484,815,4624,1895
2019,Ashanti,DISTRICT7572,3,7613,658,3811,1149
2019,Ashanti,DISTRICT7572,4,2573,707,1486,777
2019,Brong Ahafo,DISTRICT5110,1,2889,766,4500,976
2019,Brong Ahafo,DISTRICT5110,2,9370,1273,4956,985
2019,Brong Ahafo,DISTRICT5110,3,8502,1613,4465,1166
2019,Brong Ahafo,DISTRICT5110,4,3986,749,1571,1733
2019,Brong Ahafo,DISTRICT9636,1,7022,888,3751,718
2019,Brong Ahafo,DISTRICT9636,2,2718,523,1920,1086
2019,Brong Ahafo,DISTRICT9636,3,8566,809,872,1659
2019,Brong Ahafo,DISTRICT9636,4,2100,1361,4772,974
2019,Brong Ahafo,DISTRICT9363,1,2509,1303,2269,1145
2019,Brong Ahafo,DISTRICT9363,2,3308,1932,4086,1985
2019,Brong Ahafo,DISTRICT9363,3,2491,1960,1214,1655
2019,Brong Ahafo,DISTRICT9363,4,2396,1604,3238,809
2019,Brong Ahafo,DISTRICT1508,1,4091,1101,4688,1019
2019,Brong Ahafo,DISTRICT1508,2,3416,1778,3449,1324
2019,Brong Ahafo,DISTRICT1508,3,2089,590,2122,1236
2019,Brong Ahafo,DISTRICT1508,4,8126,662,2754,1999
2019,Brong Ahafo,DISTRICT8622,1,8108,1895,1917,677
2019,Brong Ahafo,DISTRICT8622,2,9863,1133,4592,1175
2019,Brong Ahafo,DISTRICT8622,3,2131,566,1521,1790
2019,Brong Ahafo,DISTRICT8622,4,2172,733,1713,1262
2019,Central,DISTRICT8588,1,7921,1018,4266,1057
2019,Central,DISTRICT8588,2,1213,1141,3416,1437
2019,Central,DISTRICT8588,3,5813,1472,1802,1885
2019,Central,DISTRICT8588,4,2552,1550,1881,521
2019,Central,DISTRICT7260,1,3976,899,1128,1636
2019,Central,DISTRICT7260,2,6589,802,4282,1602
2019,Central,DISTRICT7260,3,1147,1219,2838,630
2019,Central,DISTRICT7260,4,6102,1492,1187,641
2019,Central,DISTRICT7361,1,2547,1101,3018,1782
2019,Central,DISTRICT7361,2,4537,612,2670,661
2019,Central,DISTRICT7361,3,8990,954,1597,1787
2019,Central,DISTRICT7361,4,2830,1779,1455,1130
2019,Eastern,DISTRICT9082,1,3473,1418,2130,1511
2019,Eastern,DISTRICT9082,2,3886,804,2428,643
2019,Eastern,DISTRICT9082,3,2778,632,1508,1803
2019,Eastern,DISTRICT9082,4,2172,1690,2851,1854
2019,Eastern,DISTRICT1309,1,2654,1734,1882,1849
2019,Eastern,DISTRICT1309,2,6398,842,4734,777
2019,Eastern,DISTRICT1309,3,5044,1558,4148,682
2019,Eastern,DISTRICT1309,4,4366,992,2621,602
2019,Eastern,DISTRICT3816,1,8723,1404,3743,1248
2019,Eastern,DISTRICT3816,2,2518,1453,3408,1388
2019,Eastern,DISTRICT3816,3,9195,1569,1583,814
2019,Eastern,DISTRICT3816,4,3892,1526,4277,1683
2019,Eastern,DISTRICT1398,1,2445,500,3217,511
2019,Eastern,DISTRICT1398,2,3968,926,3905,962
2019,Eastern,DISTRICT1398,3,8508,782,2953,1731
2019,Eastern,DISTRICT1398,4,9928,1362,4987,1799
2019,Eastern,DISTRICT400,1,7611,870,1763,640
2019,Eastern,DISTRICT400,2,9641,1241,2152,1086
2019,Eastern,DISTRICT400,3,9084,1746,3154,1357
2019,Eastern,DISTRICT400,4,2169,1885,1627,978
2019,Greater Accra,DISTRICT392,1,1030,1588,2316,501
2019,Greater Accra,DISTRICT392,2,6512,1097,4756,1351
2019,Greater Accra,DISTRICT392,3,6677,912,3714,1365
2019,Greater Accra,DISTRICT392,4,7521,525,4649,1399
2019,Greater Accra,DISTRICT5256,1,4171,986,2070,1278
2019,Greater Accra,DISTRICT5256,2,2958,1926,1484,1122
2019,Greater Accra,DISTRICT5256,3,8352,1162,1152,1547
2019,Greater Accra,DISTRICT5256,4,6673,1172,2093,1470
2019,Greater Accra,DISTRICT4398,1,8457,1213,2649,1527
2019,Greater Accra,DISTRICT4398,2,5556,1197,1132,1903
2019,Greater Accra,DISTRICT4398,3,6054,930,3899,1976
2019,Greater Accra,DISTRICT4398,4,5736,610,4906,1264
2019,Greater Accra,DISTRICT3931,1,1859,1560,3867,1819
2019,Greater Accra,DISTRICT3931,2,7406,967,2513,1940
2019,Greater Accra,DISTRICT3931,3,4490,911,4337,1903
2019,Greater Accra,DISTRICT3931,4,8246,1654,2199,738
2019,Northern,DISTRICT6484,1,6895,933,4595,1909
2019,Northern,DISTRICT6484,2,3475,1490,4502,1224
2019,Northern,DISTRICT6484,3,8783,1931,834,1526
2019,Northern,DISTRICT6484,4,8522,938,2665,1801
2019,Northern,DISTRICT7613,1,9199,1663,3672,1260
2019,Northern,DISTRICT7613,2,2913,1768,2425,1842
2019,Northern,DISTRICT7613,3,3502,1123,2024,1136
2019,Northern,DISTRICT7613,4,6100,711,2055,1372
2019,Northern,DISTRICT2573,1,2633,994,1339,1591
2019,Northern,DISTRICT2573,2,8642,1049,2187,1746
2019,Northern,DISTRICT2573,3,4229,1312,3968,745
2019,Northern,DISTRICT2573,4,2029,753,4980,1621
2019,Northern,DISTRICT7670,1,8410,1485,3848,613
2019,Northern,DISTRICT7670,2,3214,659,4065,619
2019,Northern,DISTRICT7670,3,7218,1517,1879,1524
2019,Northern,DISTRICT7670,4,8165,1192,2654,989
2019,Northern,DISTRICT1682,1,2375,1480,2900,1856
2019,Northern,DISTRICT1682,2,1347,1054,4483,678
2019,Northern,DISTRICT1682,3,5201,1433,1521,1345
2019,Northern,DISTRICT1682,4,2985,509,4901,1072
2019,Upper East,DISTRICT8222,1,5159,1826,935,1263
2019,Upper East,DISTRICT8222,2,3569,651,2518,1322
2019,Upper East,DISTRICT8222,3,9631,1761,2509,1722
2019,Upper East,DISTRICT8222,4,3949,1416,3460,1516
2019,Upper East,DISTRICT2671,1,6409,757,4399,1458
2019,Upper East,DISTRICT2671,2,7789,1737,1369,1653
2019,Upper East,DISTRICT2671,3,5087,1326,3226,1720
2019,Upper East,DISTRICT2671,4,4497,1433,3688,1072
2019,Upper East,DISTRICT2883,1,3463,1206,1197,1023
2019,Upper East,DISTRICT2883,2,4951,881,3480,1639
2019,Upper East,DISTRICT2883,3,5679,1229,4116,1090
2019,Upper East,DISTRICT2883,4,3620,800,1175,1134
2019,Upper East,DISTRICT3380,1,3657,555,2594,669
2019,Upper East,DISTRICT3380,2,2121,1528,3450,1772
2019,Upper East,DISTRICT3380,3,2840,1044,4159,1313
2019,Upper East,DISTRICT3380,4,5880,1738,4872,1802
2019,Upper West,DISTRICT2240,1,4638,1864,1958,1934
2019,Upper West,DISTRICT2240,2,8298,825,3185,713
2019,Upper West,DISTRICT2240,3,9010,1834,2651,1311
2019,Upper West,DISTRICT2240,4,4028,1482,2848,1743
2019,Upper West,DISTRICT9342,1,3032,1584,4976,639
2019,Upper West,DISTRICT9342,2,2909,1068,4820,1165
2019,Upper West,DISTRICT9342,3,8696,799,4713,902
2019,Upper West,DISTRICT9342,4,4655,993,3883,1158
2019,Upper West,DISTRICT4275,1,7248,1272,1515,772
2019,Upper West,DISTRICT4275,2,1729,1126,2189,1830
2019,Upper West,DISTRICT4275,3,6765,1179,1145,1108
2019,Upper West,DISTRICT4275,4,3891,1088,2532,682
2019,Volta,DISTRICT6735,1,2083,1200,1289,1005
2019,Volta,DISTRICT6735,2,4395,1175,4380,681
2019,Volta,DISTRICT6735,3,6056,1834,1674,933
2019,Volta,DISTRICT6735,4,9361,661,4479,670
2019,Volta,DISTRICT8596,1,9295,1612,3099,1673
2019,Volta,DISTRICT8596,2,5786,803,995,1876
2019,Volta,DISTRICT8596,3,6711,579,2196,1871
2019,Volta,DISTRICT8596,4,9348,1343,1536,1837
2019,Volta,DISTRICT191,1,9724,733,1500,1538
2019,Volta,DISTRICT191,2,4164,1658,1352,610
2019,Volta,DISTRICT191,3,1978,1073,2028,1824
2019,Volta,DISTRICT191,4,2112,633,1445,1430
2019,Volta,DISTRICT8027,1,4807,1331,3957,2000
2019,Volta,DISTRICT8027,2,7161,952,1072,1953
2019,Volta,DISTRICT8027,3,7628,1253,3973,633
2019,Volta,DISTRICT8027,4,5712,1085,4508,1202
2019,Volta,DISTRICT8077,1,6187,882,2484,1215
2019,Volta,DISTRICT8077,2,4958,1293,2992,522
2019,Volta,DISTRICT8077,3,6058,1221,3532,1727
2019,Volta,DISTRICT8077,4,4737,1908,3516,1274
2019,Western,DISTRICT5441,1,4695,907,4416,1606
2019,Western,DISTRICT5441,2,2694,564,1171,1842
2019,Western,DISTRICT5441,3,4788,584,2731,892
2019,Western,DISTRICT5441,4,6724,595,3602,1492
2019,Western,DISTRICT8335,1,9334,1126,1124,1940
2019,Western,DISTRICT8335,2,4673,1424,4290,1228
2019,Western,DISTRICT8335,3,8273,849,3391,683
2019,Western,DISTRICT8335,4,2282,1868,2382,1611
2019,Savannah,DISTRICT2792,1,2609,688,1629,846
2019,Savannah,DISTRICT2792,2,4907,1727,4503,1304
2019,Savannah,DISTRICT2792,3,1909,622,2533,853
2019,Savannah,DISTRICT2792,4,5961,743,1565,1329
2019,Savannah,DISTRICT7656,1,9304,1668,1229,1778
2019,Savannah,DISTRICT7656,2,4956,1245,2039,1012
2019,Savannah,DISTRICT7656,3,8555,1736,3791,565
2019,Savannah,DISTRICT7656,4,6792,1475,1833,1396
2019,Bono East,DISTRICT4471,1,4150,1383,2172,1725
2019,Bono East,DISTRICT4471,2,6900,1161,3601,1101
2019,Bono East,DISTRICT4471,3,1016,941,1947,954
2019,Bono East,DISTRICT4471,4,1896,756,3877,1832
2019,Bono East,DISTRICT5795,1,1088,1587,2336,672
2019,Bono East,DISTRICT5795,2,1503,1261,2284,1310
2019,Bono East,DISTRICT5795,3,3414,619,1148,866
2019,Bono East,DISTRICT5795,4,1656,1389,1046,1335
2019,Bono East,DISTRICT5046,1,1041,604,1709,1681
2019,Bono East,DISTRICT5046,2,5947,1226,4160,1952
2019,Bono East,DISTRICT5046,3,2919,1786,1218,854
2019,Bono East,DISTRICT5046,4,5869,1913,3180,728
2019,Bono East,DISTRICT1993,1,3100,1395,2818,1316
2019,Bono East,DISTRICT1993,2,5874,1128,3883,548
2019,Bono East,DISTRICT1993,3,4180,1571,2787,1523
2019,Bono East,DISTRICT1993,4,1555,1862,1037,722
2019,Bono East,DISTRICT5150,1,6141,790,2030,1357
2019,Bono East,DISTRICT5150,2,6923,591,3017,609
2019,Bono East,DISTRICT5150,3,9039,838,2164,1953
2019,Bono East,DISTRICT5150,4,2165,1805,3601,924
2019,Oti,DISTRICT7603,1,5082,1770,1103,1613
2019,Oti,DISTRICT7603,2,1088,1115,1707,553
2019,Oti,DISTRICT7603,3,8208,544,4771,1630
2019,Oti,DISTRICT7603,4,6316,724,3054,1555
2019,Oti,DISTRICT8604,1,7004,1257,4507,1269
2019,Oti,DISTRICT8604,2,4077,1724,1853,1867
2019,Oti,DISTRICT8604,3,5145,529,3206,928
2019,Oti,DISTRICT8604,4,6694,1872,3658,1271
2019,Oti,DISTRICT2819,1,2750,1826,4507,751
2019,Oti,DISTRICT2819,2,4798,1775,2856,1419
2019,Oti,DISTRICT2819,3,8250,626,2045,784
2019,Oti,DISTRICT2819,4,8102,885,3468,1319
2019,Oti,DISTRICT7060,1,9144,717,4650,962
2019,Oti,DISTRICT7060,2,7499,821,834,1290
2019,Oti,DISTRICT7060,3,9528,635,4986,1447
2019,Oti,DISTRICT7060,4,1293,1415,4365,1041
2019,Ahafo,DISTRICT6374,1,9963,602,4446,1872
2019,Ahafo,DISTRICT6374,2,6836,1315,1416,956
2019,Ahafo,DISTRICT6374,3,7894,961,3805,1324
2019,Ahafo,DISTRICT6374,4,9495,594,2671,1645
2019,Western North,DISTRICT1287,1,5300,860,1950,1753
2019,Western North,DISTRICT1287,2,9858,987,2456,1491
2019,Western North,DISTRICT1287,3,2772,1888,4139,769
2019,Western North,DISTRICT1287,4,5837,1720,3239,1734
2019,North East,DISTRICT4120,1,2607,1714,4808,1545
2019,North East,DISTRICT4120,2,7098,549,3525,1612
2019,North East,DISTRICT4120,3,5615,548,3154,644
2019,North East,DISTRICT4120,4,5705,1551,1610,1061
2020,Ashanti,DISTRICT8282,1,6032,1560,3406,1762
2020,Ashanti,DISTRICT8282,2,2407,551,3209,1624
2020,Ashanti,DISTRICT8282,3,4126,1156,3953,995
2020,Ashanti,DISTRICT8282,4,5469,1093,2650,1274
2020,Brong Ahafo,DISTRICT1753,1,5875,1397,4578,1972
2020,Brong Ahafo,DISTRICT1753,2,5718,890,2194,1380
2020,Brong Ahafo,DISTRICT1753,3,5805,1587,2792,897
2020,Brong Ahafo,DISTRICT1753,4,8403,1481,3318,547
2020,Brong Ahafo,DISTRICT635,1,7991,746,3068,1285
2020,Brong Ahafo,DISTRICT635,2,4985,1307,1941,1230
2020,Brong Ahafo,DISTRICT635,3,2004,731,4245,1235
2020,Brong Ahafo,DISTRICT635,4,1382,1367,1658,1148
2020,Brong Ahafo,DISTRICT8224,1,9539,1706,1814,967
2020,Brong Ahafo,DISTRICT8224,2,1440,1039,3419,1049
2020,Brong Ahafo,DISTRICT8224,3,4187,1519,2441,776
2020,Brong Ahafo,DISTRICT8224,4,2429,1853,2334,620
2020,Central,DISTRICT8329,1,8528,1913,3610,1354
2020,Central,DISTRICT8329,2,6274,963,2429,1389
2020,Central,DISTRICT8329,3,8188,1363,2445,595
2020,Central,DISTRICT8329,4,9273,1713,2303,745
2020,Eastern,DISTRICT3661,1,1811,915,2693,998
2020,Eastern,DISTRICT3661,2,8030,1312,3130,1142
2020,Eastern,DISTRICT3661,3,7639,1503,3402,614
2020,Eastern,DISTRICT3661,4,7292,1064,3716,838
2020,Greater Accra,DISTRICT3733,1,9249,740,3939,899
2020,Greater Accra,DISTRICT3733,2,4064,1331,1924,654
2020,Greater Accra,DISTRICT3733,3,7703,1305,3827,854
2020,Greater Accra,DISTRICT3733,4,8864,722,3696,1733
2020,Greater Accra,DISTRICT7920,1,2100,1551,1705,1361
2020,Greater Accra,DISTRICT7920,2,2625,876,4821,999
2020,Greater Accra,DISTRICT7920,3,9314,1726,1666,709
2020,Greater Accra,DISTRICT7920,4,4042,1034,1230,1415
2020,Greater Accra,DISTRICT2383,1,8907,975,3980,1862
2020,Greater Accra,DISTRICT2383,2,2850,880,3728,1242
2020,Greater Accra,DISTRICT2383,3,8973,1771,3166,575
2020,Greater Accra,DISTRICT2383,4,6509,808,4206,1954
2020,Greater Accra,DISTRICT9691,1,1229,1546,2181,1195
2020,Greater Accra,DISTRICT9691,2,4401,710,2361,1688
2020,Greater Accra,DISTRICT9691,3,6864,1136,4317,944
2020,Greater Accra,DISTRICT9691,4,2269,600,3590,976
2020,Greater Accra,DISTRICT4329,1,2261,1118,3710,1820
2020,Greater Accra,DISTRICT4329,2,4038,1073,3753,1322
2020,Greater Accra,DISTRICT4329,3,9624,1841,4444,1211
2020,Greater Accra,DISTRICT4329,4,9489,1659,4625,894
2020,Northern,DISTRICT1316,1,4067,1962,3482,1706
2020,Northern,DISTRICT1316,2,9783,1111,3306,1769
2020,Northern,DISTRICT1316,3,9952,1961,997,1958
2020,Northern,DISTRICT1316,4,4809,1361,4055,1057
2020,Upper East,DISTRICT6158,1,4207,1741,3762,1345
2020,Upper East,DISTRICT6158,2,9944,1925,4672,1713
2020,Upper East,DISTRICT6158,3,7288,1854,1568,781
2020,Upper East,DISTRICT6158,4,8932,715,2108,1386
2020,Upper East,DISTRICT6764,1,9098,1216,2220,1392
