Year,Region,District,Cycle,3 to 11 months male,3 to 11 months female,12 to 59 months male,12 to 59 months female,ADR Name
2018,Central,DISTRICT9229,3,9185,570,4972,726,Vomiting
2018,Central,DISTRICT9229,4,7425,1630,4935,637,Vomiting
2018,Central,DISTRICT3237,1,3657,1136,4067,1363,Drowsiness
2018,Central,DISTRICT3237,2,5492,1923,2801,1133,Insomnia
2018,Central,DISTRICT3237,3,5351,1548,3350,779,Itching
2018,Central,DISTRICT3237,4,8236,1557,3896,766,Drowsiness
2018,Central,DISTRICT3237,1,5408,546,4758,698,Diarrhea
2018,Central,DISTRICT3237,2,3589,1396,1834,1623,Insomnia
2018,Central,DISTRICT3237,3,6279,797,4375,754,Rash
2018,Central,DISTRICT3237,4,9087,1678,1046,566,Hives
2018,Eastern,DISTRICT439,1,3058,646,1415,1437,Drowsiness
2018,Eastern,DISTRICT439,2,4631,1932,3441,505,Dizziness
2018,Eastern,DISTRICT439,3,1085,1064,4350,1648,Insomnia
2018,Eastern,DISTRICT439,4,5755,1618,1779,1321,Irritability
2018,Eastern,DISTRICT5851,1,4274,1743,1909,1044,Dizziness
2018,Eastern,DISTRICT5851,2,8423,722,2513,1643,Rash
2018,Eastern,DISTRICT5851,3,9569,1275,3979,1963,Irritability
2018,Eastern,DISTRICT5851,4,2960,1279,2016,1899,Drowsiness
2018,Eastern,DISTRICT135,1,7628,1582,4606,1498,Insomnia
2018,Eastern,DISTRICT135,2,7485,1216,1184,922,Itching
2018,Eastern,DISTRICT135,3,5762,1811,2943,1891,Drowsiness
2018,Eastern,DISTRICT135,4,1497,1337,3561,1585,Itching
2018,Eastern,DISTRICT6597,1,5351,1214,3300,705,Diarrhea
2018,Eastern,DISTRICT6597,2,3497,1130,2898,1870,Abdominal pain
2018,Eastern,DISTRICT6597,3,2373,1059,2472,1921,Drowsiness
2018,Eastern,DISTRICT6597,4,2731,1526,3235,1440,Vomiting
2018,Eastern,DISTRICT6597,1,6777,1344,1035,1295,Rash
2018,Eastern,DISTRICT6597,2,2238,1291,960,1678,Diarrhea
2018,Eastern,DISTRICT6597,3,8364,1336,4226,1893,Rash
2018,Eastern,DISTRICT6597,4,7769,812,1102,1488,Itching
2018,Eastern,DISTRICT6597,1,1363,1805,2891,1500,Dizziness
2018,Eastern,DISTRICT6597,2,7943,930,2443,1707,Irritability
2018,Eastern,DISTRICT6597,3,4272,1001,4530,1890,Drowsiness
2018,Eastern,DISTRICT6597,4,6233,1681,3717,1688,Irritability
2018,Eastern,DISTRICT6597,1,4301,1239,1048,580,Hives
2018,Eastern,DISTRICT6597,2,7864,951,2914,1314,Abdominal pain
2018,Eastern,DISTRICT6597,3,5332,1043,2985,959,Itching
2018,Eastern,DISTRICT6597,4,1660,1149,2423,1541,Irritability
2018,Greater Accra,DISTRICT1599,1,2518,1503,4729,1826,Drowsiness
2018,Greater Accra,DISTRICT1599,2,1504,964,2983,1302,Itching
2018,Greater Accra,DISTRICT1599,3,8857,536,4541,883,Dizziness
2018,Greater Accra,DISTRICT1599,4,6264,1494,1955,1881,Rash
2018,Greater Accra,DISTRICT1599,1,1925,594,2005,1582,Nausea
2018,Greater Accra,DISTRICT1599,2,8163,1214,1231,1912,Insomnia
2018,Greater Accra,DISTRICT1599,3,9771,1022,4462,1402,Diarrhea
2018,Greater Accra,DISTRICT1599,4,3902,709,4526,1014,Diarrhea
2018,Greater Accra,DISTRICT1599,1,8585,818,2425,1932,Nausea
2018,Greater Accra,DISTRICT1599,2,6214,902,3983,675,Drowsiness
2018,Greater Accra,DISTRICT1599,3,3588,1116,3710,1064,Hives
2018,Greater Accra,DISTRICT1599,4,1364,929,3849,950,Rash
2018,Greater Accra,DISTRICT1599,1,8899,1465,853,1717,Diarrhea
2018,Greater Accra,DISTRICT1599,2,9262,683,808,1042,Diarrhea
2018,Greater Accra,DISTRICT1599,3,1900,900,3255,1269,Abdominal pain
2018,Greater Accra,DISTRICT1599,4,4271,823,1873,739,Rash
2018,Greater Accra,DISTRICT7873,1,4749,1770,3177,1963,Diarrhea
2018,Greater Accra,DISTRICT7873,2,5528,615,4519,563,Rash
2018,Greater Accra,DISTRICT7873,3,8474,950,3191,583,Drowsiness
2018,Greater Accra,DISTRICT7873,4,4837,1203,2819,1886,Insomnia
2018,Greater Accra,DISTRICT7873,1,5225,1083,2643,1130,Diarrhea
2018,Greater Accra,DISTRICT7873,2,7660,1229,818,1386,Hives
2018,Greater Accra,DISTRICT7873,3,4751,1525,1480,911,Irritability
2018,Greater Accra,DISTRICT7873,4,2017,531,1160,1119,Rash
2018,Greater Accra,DISTRICT7873,1,5580,597,4533,1113,Hives
2018,Greater Accra,DISTRICT7873,2,3263,734,4162,1615,Insomnia
2018,Greater Accra,DISTRICT7873,3,6937,1606,2326,1168,Dizziness
2018,Greater Accra,DISTRICT7873,4,6994,1153,3222,1152,Itching
2018,Greater Accra,DISTRICT2347,1,9198,740,4561,967,Itching
2018,Greater Accra,DISTRICT2347,2,8746,1664,3032,999,Dizziness
2018,Greater Accra,DISTRICT2347,3,4598,956,1190,1163,Irritability
2018,Greater Accra,DISTRICT2347,4,6896,1912,2814,825,Vomiting
2018,Greater Accra,DISTRICT2347,1,6694,1149,3147,1375,Irritability
2018,Greater Accra,DISTRICT2347,2,5839,1158,3353,1654,Vomiting
2018,Greater Accra,DISTRICT2347,3,4142,1763,3359,926,Nausea
2018,Greater Accra,DISTRICT2347,4,2400,945,1011,1917,Insomnia
2018,Greater Accra,DISTRICT2347,1,6229,982,1254,1756,Rash
2018,Greater Accra,DISTRICT2347,2,7188,1398,4446,634,Irritability
2018,Greater Accra,DISTRICT2347,3,6334,1126,3026,988,Irritability
2018,Greater Accra,DISTRICT2347,4,2485,924,3536,1251,Insomnia
2018,Northern,DISTRICT893,1,6816,921,4295,942,Diarrhea
2018,Northern,DISTRICT893,2,2850,746,4835,1180,Diarrhea
2018,Northern,DISTRICT893,3,8189,1294,4179,1013,Itching
2018,Northern,DISTRICT893,4,6849,701,2892,1463,Insomnia
2018,Northern,DISTRICT893,1,2151,1949,1161,1254,Rash
2018,Northern,DISTRICT893,2,2783,1356,4688,1315,Dizziness
2018,Northern,DISTRICT893,3,6820,995,3624,1322,Insomnia
2018,Northern,DISTRICT893,4,7006,768,960,1634,Drowsiness
2018,Northern,DISTRICT893,1,9543,740,1260,1104,Dizziness
2018,Northern,DISTRICT893,2,3616,1391,2221,1714,Vomiting
2018,Northern,DISTRICT893,3,5712,1719,3504,1373,Vomiting
2018,Northern,DISTRICT893,4,6029,596,4817,1712,Dizziness
2018,Northern,DISTRICT5005,1,5409,1377,3968,955,Diarrhea
2018,Northern,DISTRICT5005,2,6998,1104,2127,1627,Itching
2018,Northern,DISTRICT5005,3,9253,723,4758,578,Irritability
2018,Northern,DISTRICT5005,4,4682,1815,2806,985,Itching
2018,Northern,DISTRICT5005,1,8678,1679,3619,636,Itching
2018,Northern,DISTRICT5005,2,3334,1993,2646,1957,Drowsiness
2018,Northern,DISTRICT5005,3,8171,1156,4456,1060,Itching
2018,Northern,DISTRICT5005,4,1713,1013,4051,1451,Abdominal pain
2018,Northern,DISTRICT7429,1,2507,824,4417,1918,Hives
2018,Northern,DISTRICT7429,2,8498,1009,2809,1700,Diarrhea
2018,Northern,DISTRICT7429,3,4816,1130,1100,792,Rash
2018,Northern,DISTRICT7429,4,3742,1310,3463,1523,Abdominal pain
2018,Northern,DISTRICT7429,1,7175,1592,1390,1163,Drowsiness
2018,Northern,DISTRICT7429,2,6881,1478,1301,1360,Abdominal pain
2018,Northern,DISTRICT7429,3,9291,1866,3777,641,Dizziness
2018,Northern,DISTRICT7429,4,9818,1334,2709,1408,Hives
2018,Northern,DISTRICT7429,1,1571,920,2322,1259,Rash
2018,Northern,DISTRICT7429,2,5698,970,2050,1325,Dizziness
2018,Northern,DISTRICT7429,3,7435,1584,4790,1498,Diarrhea
2018,Northern,DISTRICT7429,4,3163,1190,1445,1775,Hives
2018,Northern,DISTRICT2332,1,7029,1012,1610,1668,Diarrhea
2018,Northern,DISTRICT2332,2,2858,1803,3929,1654,Itching
2018,Northern,DISTRICT2332,3,1277,1689,3771,964,Abdominal pain
2018,Northern,DISTRICT2332,4,3876,1643,4322,1144,Nausea
2018,Upper East,DISTRICT1556,1,7563,1975,2556,1268,Diarrhea
2018,Upper East,DISTRICT1556,2,3616,524,3629,1493,Dizziness
2018,Upper East,DISTRICT1556,3,5768,1844,4385,1409,Irritability
2018,Upper East,DISTRICT1556,4,6586,1500,1769,1730,Nausea
2018,Upper East,DISTRICT1556,1,6390,1394,2066,964,Drowsiness
2018,Upper East,DISTRICT1556,2,5379,640,4668,1871,Dizziness
2018,Upper East,DISTRICT1556,3,7411,1766,3736,1559,Irritability
2018,Upper East,DISTRICT1556,4,7122,944,3663,1133,Itching
2018,Upper East,DISTRICT1556,1,4823,1044,3301,1986,Dizziness
2018,Upper East,DISTRICT1556,2,7681,1365,3960,1397,Nausea
2018,Upper East,DISTRICT1556,3,1498,1667,3139,786,Drowsiness
2018,Upper East,DISTRICT1556,4,7868,1041,1793,538,Dizziness
2018,Upper East,DISTRICT1556,1,3606,965,3037,911,Dizziness
2018,Upper East,DISTRICT1556,2,9406,1764,1114,1002,Nausea
2018,Upper East,DISTRICT1556,3,9680,1760,1822,1440,Rash
2018,Upper East,DISTRICT1556,4,5010,1433,4901,1148,Hives
2018,Upper East,DISTRICT1556,1,6199,1645,3803,1787,Dizziness
2018,Upper East,DISTRICT1556,2,3733,1517,4969,694,Diarrhea
2018,Upper East,DISTRICT1556,3,8535,1899,1624,1947,Diarrhea
2018,Upper East,DISTRICT1556,4,6353,1378,2475,1440,Diarrhea
2018,Upper East,DISTRICT8217,1,8715,1592,3663,1006,Abdominal pain
2018,Upper East,DISTRICT8217,2,3627,848,3359,1186,Drowsiness
2018,Upper East,DISTRICT8217,3,7591,1053,3057,803,Rash
2018,Upper East,DISTRICT8217,4,9821,1506,1708,1205,Diarrhea
2018,Upper East,DISTRICT8217,1,2099,1754,2661,1354,Irritability
2018,Upper East,DISTRICT8217,2,2000,1946,2081,562,Irritability
2018,Upper East,DISTRICT8217,3,3556,1328,1419,985,Hives
2018,Upper East,DISTRICT8217,4,8275,555,3993,1504,Abdominal pain
2018,Upper East,DISTRICT8217,1,2459,1185,1123,611,Hives
2018,Upper East,DISTRICT8217,2,2509,739,3482,1243,Itching
2018,Upper East,DISTRICT8217,3,7958,1713,890,1544,Hives
2018,Upper East,DISTRICT8217,4,9737,735,1729,925,Itching
2018,Upper East,DISTRICT8217,1,8337,662,2258,1740,Diarrhea
2018,Upper East,DISTRICT8217,2,7018,835,2869,1236,Drowsiness
2018,Upper East,DISTRICT8217,3,3024,1897,3375,1211,Itching
2018,Upper East,DISTRICT8217,4,6404,1802,2960,1281,Hives
2018,Upper East,DISTRICT8217,1,6542,1528,3174,548,Irritability
2018,Upper East,DISTRICT8217,2,4745,1260,1019,559,Hives
2018,Upper East,DISTRICT8217,3,6618,1917,3143,1864,Insomnia
2018,Upper East,DISTRICT8217,4,1250,1052,2339,1364,Vomiting
2018,Upper West,DISTRICT6876,1,5275,594,3858,1946,Drowsiness
2018,Upper West,DISTRICT6876,2,1801,1830,841,1476,Vomiting
2018,Upper West,DISTRICT6876,3,5169,775,2041,1531,Nausea
2018,Upper West,DISTRICT6876,4,3650,638,2992,911,Hives
2018,Upper West,DISTRICT6876,1,8020,1005,4966,1202,Diarrhea
2018,Upper West,DISTRICT6876,2,6588,902,4207,650,Dizziness
2018,Upper West,DISTRICT6876,3,3344,1079,1092,1558,Hives
2018,Upper West,DISTRICT6876,4,3102,700,2355,1993,Vomiting
2018,Upper West,DISTRICT6876,1,6492,1684,1703,1543,Rash
2018,Upper West,DISTRICT6876,2,4749,1173,3360,1850,Rash
2018,Upper West,DISTRICT6876,3,2648,529,2245,1289,Nausea
2018,Upper West,DISTRICT6876,4,6927,1996,802,1962,Diarrhea
2018,Upper West,DISTRICT6876,1,4271,1458,3767,961,Drowsiness
2018,Upper West,DISTRICT6876,2,2202,1445,925,988,Abdominal pain
2018,Upper West,DISTRICT6876,3,7439,990,3549,740,Vomiting
2018,Upper West,DISTRICT6876,4,6397,1140,1872,1549,Irritability
2018,Upper West,DISTRICT7000,1,5800,501,1740,674,Diarrhea
2018,Upper West,DISTRICT7000,2,5206,1546,4690,1219,Dizziness
2018,Upper West,DISTRICT7000,3,5542,1098,4271,910,Nausea
2018,Upper West,DISTRICT7000,4,2593,957,4743,1063,Irritability
2018,Upper West,DISTRICT7000,1,4894,1551,4086,1089,Irritability
2018,Upper West,DISTRICT7000,2,7391,674,2297,628,Rash
2018,Upper West,DISTRICT7000,3,9503,747,2024,869,Abdominal pain
2018,Upper West,DISTRICT7000,4,5497,1560,1983,1302,Dizziness
2018,Upper West,DISTRICT7000,1,3642,1133,3054,1206,Itching
2018,Upper West,DISTRICT7000,2,9412,892,3600,1402,Rash
2018,Upper West,DISTRICT7000,3,1996,1432,3769,690,Nausea
2018,Upper West,DISTRICT7000,4,1817,1394,3494,1636,Abdominal pain
2018,Upper West,DISTRICT221,1,3266,647,3497,863,Dizziness
2018,Upper West,DISTRICT221,2,3441,1028,4446,1952,Nausea
2018,Upper West,DISTRICT221,3,4380,1704,4740,1043,Itching
2018,Upper West,DISTRICT221,4,1681,727,4074,909,Dizziness
2018,Upper West,DISTRICT221,1,7886,928,1735,1622,Itching
2018,Upper West,DISTRICT221,2,5227,898,1006,934,Hives
2018,Upper West,DISTRICT221,3,8291,642,3341,958,Abdominal pain
2018,Upper West,DISTRICT221,4,9983,1891,4048,1714,Insomnia
2018,Upper West,DISTRICT221,1,1193,522,4356,1417,Nausea
2018,Upper West,DISTRICT221,2,1259,1279,2750,1027,Diarrhea
2018,Upper West,DISTRICT221,3,8711,1014,2095,1603,Rash
2018,Upper West,DISTRICT221,4,3487,710,3641,1345,Rash
2018,Upper West,DISTRICT3595,1,9956,1762,4389,783,Itching
2018,Upper West,DISTRICT3595,2,4135,510,1960,1113,Irritability
2018,Upper West,DISTRICT3595,3,3767,1504,2716,991,Vomiting
2018,Upper West,DISTRICT3595,4,6633,1595,1362,626,Diarrhea
2018,Volta,DISTRICT1507,1,6655,1457,1966,1912,Vomiting
2018,Volta,DISTRICT1507,2,6951,1094,4435,1817,Hives
2018,Volta,DISTRICT1507,3,1633,1261,4615,1126,Irritability
2018,Volta,DISTRICT1507,4,9943,1235,2665,687,Abdominal pain
2018,Volta,DISTRICT1507,1,9766,1920,4268,1853,Diarrhea
2018,Volta,DISTRICT1507,2,1120,1136,2099,1740,Drowsiness
2018,Volta,DISTRICT1507,3,7166,591,1690,682,Rash
2018,Volta,DISTRICT1507,4,3491,677,3595,1416,Drowsiness
2018,Volta,DISTRICT1507,1,2005,641,3117,1411,Insomnia
2018,Volta,DISTRICT1507,2,7952,1455,2473,1186,Diarrhea
2018,Volta,DISTRICT1507,3,5116,1679,4614,831,Rash
2018,Volta,DISTRICT1507,4,7363,1093,1328,1766,Itching
2018,Volta,DISTRICT1507,1,3726,651,2884,874,Drowsiness
2018,Volta,DISTRICT1507,2,9372,1835,2930,602,Nausea
2018,Volta,DISTRICT1507,3,5971,547,3607,1210,Itching
2018,Volta,DISTRICT1507,4,8539,1288,4514,1627,Nausea
2018,Volta,DISTRICT1507,1,7251,1100,1389,1607,Drowsiness
2018,Volta,DISTRICT1507,2,8007,1777,1874,1058,Drowsiness
2018,Volta,DISTRICT1507,3,3025,1597,4806,1487,Itching
2018,Volta,DISTRICT1507,4,7881,963,1079,687,Diarrhea
2018,Volta,DISTRICT8829,1,7840,1399,3655,1747,Rash
2018,Volta,DISTRICT8829,2,8486,1185,4469,1702,Diarrhea
2018,Volta,DISTRICT8829,3,8375,561,4037,1898,Hives
2018,Volta,DISTRICT8829,4,3013,1508,1842,1848,Drowsiness
2018,Volta,DISTRICT8829,1,4387,1716,2557,1129,Vomiting
2018,Volta,DISTRICT8829,2,7098,693,3692,1010,Insomnia
2018,Volta,DISTRICT8829,3,3549,1905,1364,992,Vomiting
2018,Volta,DISTRICT8829,4,2344,1124,2260,1182,Nausea
2018,Volta,DISTRICT8829,1,1140,624,1769,1371,Abdominal pain
2018,Volta,DISTRICT8829,2,5883,1448,1336,519,Vomiting
2018,Volta,DISTRICT8829,3,2604,1863,3030,928,Irritability
2018,Volta,DISTRICT8829,4,3160,846,4015,837,Vomiting
2018,Volta,DISTRICT8829,1,6073,1871,4886,1676,Insomnia
2018,Volta,DISTRICT8829,2,8662,1955,3236,924,Drowsiness
2018,Volta,DISTRICT8829,3,4525,570,1793,980,Nausea
2018,Volta,DISTRICT8829,4,9442,878,2570,1180,Dizziness
2018,Volta,DISTRICT8829,1,3009,780,1132,1681,Hives
2018,Volta,DISTRICT8829,2,2694,1859,2515,508,Nausea
2018,Volta,DISTRICT8829,3,5521,1061,2559,1967,Itching
2018,Volta,DISTRICT8829,4,9833,1894,3483,1328,Insomnia
2018,Volta,DISTRICT5043,1,6175,814,4672,706,Dizziness
2018,Volta,DISTRICT5043,2,9338,892,3925,1385,Dizziness
2018,Volta,DISTRICT5043,3,8696,1504,2302,1292,Drowsiness
2018,Volta,DISTRICT5043,4,2185,1739,1848,600,Drowsiness
2018,Volta,DISTRICT5043,1,6489,740,2144,701,Vomiting
2018,Volta,DISTRICT5043,2,6312,1250,2026,743,Dizziness
2018,Volta,DISTRICT5043,3,5173,905,2714,591,Itching
2018,Volta,DISTRICT5043,4,2978,993,4939,1536,Irritability
2018,Western,DISTRICT5501,1,2343,1701,2458,802,Irritability
2018,Western,DISTRICT5501,2,6161,1883,4396,1844,Dizziness
2018,Western,DISTRICT5501,3,5204,1613,1522,637,Hives
2018,Western,DISTRICT5501,4,9347,1520,4696,1695,Drowsiness
2018,Western,DISTRICT5501,1,2760,1580,3091,922,Hives
2018,Western,DISTRICT5501,2,4742,716,3328,706,Vomiting
2018,Western,DISTRICT5501,3,5910,1970,3409,1074,Nausea
2018,Western,DISTRICT5501,4,5193,1415,1573,1295,Abdominal pain
2018,Western,DISTRICT5501,1,8746,1088,4224,532,Diarrhea
2018,Western,DISTRICT5501,2,8639,778,2421,1283,Vomiting
2018,Western,DISTRICT5501,3,2690,761,3328,859,Rash
2018,Western,DISTRICT5501,4,3872,1893,3122,1269,Rash
2018,Savannah,DISTRICT1885,1,7285,1107,2411,532,Nausea
2018,Savannah,DISTRICT1885,2,5794,1160,2496,588,Itching
2018,Savannah,DISTRICT1885,3,5439,559,953,1845,Nausea
2018,Savannah,DISTRICT1885,4,2204,1852,1471,945,Itching
2018,Savannah,DISTRICT1551,1,5123,1273,1709,1250,Irritability
2018,Savannah,DISTRICT1551,2,9005,1851,1672,1195,Nausea
2018,Savannah,DISTRICT1551,3,1613,1851,3862,875,Vomiting
2018,Savannah,DISTRICT1551,4,8555,601,1929,995,Rash
2018,Savannah,DISTRICT1551,1,1262,1308,2120,1648,Hives
2018,Savannah,DISTRICT1551,2,6778,1051,4754,688,Dizziness
2018,Savannah,DISTRICT1551,3,6854,1646,2775,1295,Dizziness
2018,Savannah,DISTRICT1551,4,8783,1481,3755,1978,Irritability
2018,Savannah,DISTRICT1551,1,2461,1665,2706,1741,Hives
2018,Savannah,DISTRICT1551,2,7388,1370,1937,937,Insomnia
2018,Savannah,DISTRICT1551,3,6142,1909,4980,979,Nausea
2018,Savannah,DISTRICT1551,4,6230,779,1212,1073,Nausea
2018,Savannah,DISTRICT1551,1,6190,838,1592,1958,Abdominal pain
2018,Savannah,DISTRICT1551,2,3893,1952,2423,1942,Nausea
2018,Savannah,DISTRICT1551,3,9178,1462,4762,1536,Hives
2018,Savannah,DISTRICT1551,4,2896,1008,2004,573,Drowsiness
2018,Savannah,DISTRICT7357,1,1550,1273,2315,1866,Itching
2018,Savannah,DISTRICT7357,2,2316,1730,2467,1374,Nausea
2018,Savannah,DISTRICT7357,3,3942,1480,1404,900,Irritability
2018,Savannah,DISTRICT7357,4,5188,647,3129,1477,Diarrhea
2018,Savannah,DISTRICT1824,1,2758,861,4781,814,Nausea
2018,Savannah,DISTRICT1824,2,1021,878,1387,1986,Abdominal pain
2018,Savannah,DISTRICT1824,3,1710,1802,3240,965,Hives
2018,Savannah,DISTRICT1824,4,8589,1776,4592,1071,Rash
2018,Savannah,DISTRICT1824,1,4944,601,1484,910,Insomnia
2018,Savannah,DISTRICT1824,2,5483,1578,1768,996,Insomnia
2018,Savannah,DISTRICT1824,3,2196,1289,2268,1822,Diarrhea
2018,Savannah,DISTRICT1824,4,1847,1615,3734,750,Abdominal pain
2018,Bono East,DISTRICT8692,1,9704,1230,1523,767,Dizziness
2018,Bono East,DISTRICT8692,2,3832,728,2394,664,Irritability
2018,Bono East,DISTRICT8692,3,5301,1270,992,1306,Nausea
2018,Bono East,DISTRICT8692,4,1134,1876,3501,1623,Irritability
2018,Bono East,DISTRICT8692,1,8551,1944,3439,1428,Drowsiness
2018,Bono East,DISTRICT8692,2,9777,955,2195,977,Nausea
2018,Bono East,DISTRICT8692,3,3638,1304,3806,575,Diarrhea
2018,Bono East,DISTRICT8692,4,9433,816,4465,858,Rash
2018,Bono East,DISTRICT8692,1,2322,1931,3428,846,Diarrhea
2018,Bono East,DISTRICT8692,2,9294,1666,1930,1404,Itching
2018,Bono East,DISTRICT8692,3,8658,1628,4603,718,Rash
2018,Bono East,DISTRICT8692,4,1032,935,2507,1258,Vomiting
2018,Bono East,DISTRICT8692,1,2802,1095,4128,1758,Insomnia
2018,Bono East,DISTRICT8692,2,2737,1600,1329,1654,Irritability
2018,Bono East,DISTRICT8692,3,4239,1352,4816,1779,Dizziness
2018,Bono East,DISTRICT8692,4,1246,523,3389,700,Diarrhea
2018,Bono East,DISTRICT4342,1,1777,1104,2639,1910,Irritability
2018,Bono East,DISTRICT4342,2,1998,1113,2161,755,Insomnia
2018,Bono East,DISTRICT4342,3,6898,1349,2340,1685,Irritability
2018,Bono East,DISTRICT4342,4,3917,1022,1989,565,Insomnia
2018,Bono East,DISTRICT7136,1,6517,1416,4373,1216,Abdominal pain
2018,Bono East,DISTRICT7136,2,1476,1221,4203,571,Rash
2018,Bono East,DISTRICT7136,3,1268,1696,4726,1620,Itching
